trial,subject,condition,joint,channel,rmse_full,rmse_single,delta_rmse,r2_full,r2_single,delta_r2
AB02_Oscar::LG_1p2mps,AB02_Oscar,LG_1p2mps,hip,hip_flexion_r,0.1851373957,0.24741869400000002,0.06228129830000001,0.8341755948,0.7391034964000001,-0.09507209839999997
AB02_Oscar::LG_1p6mps,AB02_Oscar,LG_1p6mps,hip,hip_flexion_r,0.1788330109,0.1388520262,-0.0399809847,0.8927299190000001,0.9403880321,0.0476581130999999
AB02_Oscar::RA_0p8mps,AB02_Oscar,RA_0p8mps,hip,hip_flexion_r,0.2945002828,0.1705118053,-0.1239884775,0.7891372295,0.7653346518,-0.02380257769999994
AB02_Oscar::RD_0p8mps,AB02_Oscar,RD_0p8mps,hip,hip_flexion_r,0.16129967050000002,0.22658983770000002,0.0652901672,0.6159801157,0.26986928450000003,-0.34611083119999997
AB03_Ilseung::LG_0p8mps,AB03_Ilseung,LG_0p8mps,hip,hip_flexion_r,0.1230061846,0.0935202579,-0.029485926699999998,0.6643052507,0.7427116036,0.07840635289999998
AB03_Ilseung::LG_1p2mps,AB03_Ilseung,LG_1p2mps,hip,hip_flexion_r,0.1480899977,0.0911856136,-0.0569043841,0.8104473886,0.9390792541,0.12863186550000005
AB03_Ilseung::LG_1p6mps,AB03_Ilseung,LG_1p6mps,hip,hip_flexion_r,0.1461713202,0.10053748100000001,-0.0456338392,0.8972592608000001,0.9460644555000001,0.0488051947
AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA_0p8mps,hip,hip_flexion_r,0.2701224732,0.1588656612,-0.11125681199999998,0.7433181484,0.8142599694,0.07094182100000002
AB03_Ilseung::RD_0p8mps,AB03_Ilseung,RD_0p8mps,hip,hip_flexion_r,0.142483567,0.1546597126,0.012176145599999993,0.7371869359000001,0.6650902004,-0.07209673550000006
AB04_Changseob::LG_0p8mps,AB04_Changseob,LG_0p8mps,hip,hip_flexion_r,0.0916696756,0.0977154097,0.006045734100000005,0.8340291623,0.8606246457000001,0.026595483400000064
AB04_Changseob::LG_1p2mps,AB04_Changseob,LG_1p2mps,hip,hip_flexion_r,0.11667122240000001,0.1043379114,-0.012333311000000013,0.9078459306000001,0.9511797355,0.04333380489999994
AB04_Changseob::LG_1p6mps,AB04_Changseob,LG_1p6mps,hip,hip_flexion_r,0.1506181485,0.1610213784,0.010403229900000005,0.943134503,0.9669337476000001,0.023799244600000047
AB04_Changseob::RA_0p8mps,AB04_Changseob,RA_0p8mps,hip,hip_flexion_r,0.2094656255,0.2063681023,-0.0030975232000000075,0.8749869257,0.7463390711,-0.12864785460000006
AB04_Changseob::RD_0p8mps,AB04_Changseob,RD_0p8mps,hip,hip_flexion_r,0.11605589250000001,0.1404055367,0.024349644199999992,0.7392886797,0.5767305248,-0.16255815490000003
AB05_Maria::LG_1p2mps,AB05_Maria,LG_1p2mps,hip,hip_flexion_r,0.16685719440000002,0.0977618222,-0.06909537220000002,0.8117977638,0.954428173,0.14263040920000003
AB05_Maria::LG_1p6mps,AB05_Maria,LG_1p6mps,hip,hip_flexion_r,0.15932426460000002,0.08103672,-0.07828754460000001,0.9035854164,0.976405454,0.0728200376
AB05_Maria::RA_0p8mps,AB05_Maria,RA_0p8mps,hip,hip_flexion_r,0.2557853487,0.13845802670000001,-0.11732732200000001,0.7477970682,0.8509305118,0.10313344359999999
AB05_Maria::RD_0p8mps,AB05_Maria,RD_0p8mps,hip,hip_flexion_r,0.1626054351,0.21032641,0.04772097489999999,0.6886517316,0.48646155890000004,-0.2021901727
AB06_Jimin::LG_0p8mps,AB06_Jimin,LG_0p8mps,hip,hip_flexion_r,0.1001517543,0.1804802405,0.0803284862,0.8492335571,0.5736582956,-0.2755752615
AB06_Jimin::LG_1p2mps,AB06_Jimin,LG_1p2mps,hip,hip_flexion_r,0.1283969564,0.1238442814,-0.004552675000000006,0.9060755251,0.9175273527000001,0.011451827600000075
AB06_Jimin::LG_1p6mps,AB06_Jimin,LG_1p6mps,hip,hip_flexion_r,0.138648893,0.1458705191,0.007221626100000017,0.9443969556,0.9531683824,0.008771426799999982
AB06_Jimin::RA_0p8mps,AB06_Jimin,RA_0p8mps,hip,hip_flexion_r,0.14355560720000002,0.2901484219,0.1465928147,0.9251041442000001,0.5817680114,-0.3433361328000001
AB06_Jimin::RD_0p8mps,AB06_Jimin,RD_0p8mps,hip,hip_flexion_r,0.0877199365,0.15857806500000002,0.07085812850000002,0.8799497466,0.5586666364,-0.3212831102
AB07_Amy::LG_0p8mps,AB07_Amy,LG_0p8mps,hip,hip_flexion_r,0.1412189895,0.1776228201,0.03640383059999999,0.8144988607,0.7336833242,-0.08081553649999995
AB07_Amy::LG_1p2mps,AB07_Amy,LG_1p2mps,hip,hip_flexion_r,0.14982938610000002,0.12580362250000002,-0.0240257636,0.8915027939,0.8855423499,-0.005960443999999954
AB07_Amy::LG_1p6mps,AB07_Amy,LG_1p6mps,hip,hip_flexion_r,0.1702185374,0.1589852934,-0.011233244000000003,0.9258431639,0.9245945963000001,-0.0012485675999999168
AB07_Amy::RA_0p8mps,AB07_Amy,RA_0p8mps,hip,hip_flexion_r,0.175132318,0.2492827071,0.07415038909999999,0.8465538814,0.6780727516,-0.16848112979999996
AB07_Amy::RD_0p8mps,AB07_Amy,RD_0p8mps,hip,hip_flexion_r,0.1234934699,0.1927328448,0.0692393749,0.7680324538000001,0.5177336724,-0.25029878140000006
AB08_Seokhyun::LG_0p8mps,AB08_Seokhyun,LG_0p8mps,hip,hip_flexion_r,0.08427442560000001,0.1139283746,0.029653949,0.8569981092000001,0.7759131885,-0.08108492070000006
AB08_Seokhyun::LG_1p2mps,AB08_Seokhyun,LG_1p2mps,hip,hip_flexion_r,0.1127996098,0.18699282790000002,0.07419321810000001,0.9022002673,0.7978044235,-0.1043958438
