trial,subject,condition,joint,channel,rmse_full,rmse_single,delta_rmse,r2_full,r2_single,delta_r2
AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA_0p8mps,ankle,ankle_angle_l,0.23077182710000002,0.29027655900000005,0.059504731900000024,0.8159598958000001,0.7088137751,-0.10714612070000007
AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA_0p8mps,ankle,ankle_angle_r,0.27565268260000003,0.36371145930000004,0.08805877670000001,0.7703024493,0.6001050807,-0.1701973686
AB08_Seokhyun::RD_0p8mps,AB08_Seokhyun,RD_0p8mps,ankle,ankle_angle_l,0.1340822248,0.3251937056,0.19111148079999998,0.9335267689000001,0.6089893056,-0.3245374633000001
AB08_Seokhyun::RD_0p8mps,AB08_Seokhyun,RD_0p8mps,ankle,ankle_angle_r,0.1847536157,0.3808672946,0.1961136789,0.8829677701,0.5026444723,-0.38032329780000007
AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,hip,hip_flexion_l,0.07512384300000001,0.1070186722,0.03189482919999999,0.8738752109,0.7440447882,-0.1298304227
AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,hip,hip_flexion_r,0.0903640765,0.10743884990000001,0.017074773400000007,0.7909089158,0.7044257564,-0.08648315939999995
AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,hip,hip_flexion_l,0.08165231810000001,0.1239198356,0.04226751749999999,0.9375974632,0.8562701859,-0.0813272773
AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,hip,hip_flexion_r,0.1348406833,0.1149039005,-0.01993678280000001,0.8021144896,0.8563050026,0.054190512999999996
AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG_1p6mps,hip,hip_flexion_l,0.11297182380000001,0.16544579750000002,0.05247397370000001,0.9462754793,0.8847757871,-0.061499692199999956
AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG_1p6mps,hip,hip_flexion_r,0.1600618355,0.1532232356,-0.006838599899999992,0.8744407460000001,0.8849405220000001,0.01049977599999996
AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,hip,hip_flexion_l,0.1012132347,0.1729920811,0.0717788464,0.9072780565,0.7291303397000001,-0.17814771679999997
AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,hip,hip_flexion_r,0.1157467123,0.158680588,0.04293387570000001,0.8531217852,0.7239500586000001,-0.12917172659999998
AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,hip,hip_flexion_l,0.08494992550000001,0.135710662,0.0507607365,0.8281732276,0.5614766066,-0.266696621
AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,hip,hip_flexion_r,0.1380853387,0.1460575526,0.007972213899999997,0.6295443648,0.5855338141,-0.04401055069999993
AB02_Oscar::LG_0p8mps,AB02_Oscar,LG_0p8mps,hip,hip_flexion_l,0.1020539205,0.1263035536,0.0242496331,0.7435623466,0.6072162185000001,-0.1363461280999999
AB02_Oscar::LG_0p8mps,AB02_Oscar,LG_0p8mps,hip,hip_flexion_r,0.1277753976,0.1091512111,-0.0186241865,0.6238473856,0.725509878,0.10166249240000003
AB02_Oscar::LG_1p2mps,AB02_Oscar,LG_1p2mps,hip,hip_flexion_l,0.1509284612,0.25998439430000003,0.10905593310000003,0.7868429761,0.3675125395,-0.41933043659999997
AB02_Oscar::LG_1p2mps,AB02_Oscar,LG_1p2mps,hip,hip_flexion_r,0.1851373957,0.24741869400000002,0.06228129830000001,0.6845107895,0.4365424129,-0.24796837659999998
AB02_Oscar::LG_1p6mps,AB02_Oscar,LG_1p6mps,hip,hip_flexion_l,0.1742995538,0.1276168643,-0.04668268950000001,0.8499009638,0.9195360235000001,0.06963505970000006
AB02_Oscar::LG_1p6mps,AB02_Oscar,LG_1p6mps,hip,hip_flexion_r,0.1788330109,0.1388520262,-0.0399809847,0.8396956750000001,0.9033605819,0.06366490689999993
AB02_Oscar::RA_0p8mps,AB02_Oscar,RA_0p8mps,hip,hip_flexion_l,0.26921856,0.1809022113,-0.08831634869999999,0.39067326010000003,0.7248763056,0.3342030455
AB02_Oscar::RA_0p8mps,AB02_Oscar,RA_0p8mps,hip,hip_flexion_r,0.2945002828,0.1705118053,-0.1239884775,0.2705358162,0.7554647646,0.4849289484
AB02_Oscar::RD_0p8mps,AB02_Oscar,RD_0p8mps,hip,hip_flexion_l,0.1331537526,0.1983139478,0.06516019519999999,0.5682005528,0.0421846762,-0.5260158766
AB02_Oscar::RD_0p8mps,AB02_Oscar,RD_0p8mps,hip,hip_flexion_r,0.16129967050000002,0.22658983770000002,0.0652901672,0.4508881766,-0.0836142089,-0.5345023855000001
AB03_Ilseung::LG_0p8mps,AB03_Ilseung,LG_0p8mps,hip,hip_flexion_l,0.13031336400000001,0.1299838626,-0.00032950140000001515,0.5236612784,0.5260671071,0.0024058287000000567
AB03_Ilseung::LG_0p8mps,AB03_Ilseung,LG_0p8mps,hip,hip_flexion_r,0.1230061846,0.0935202579,-0.029485926699999998,0.5046031862,0.7136410873,0.20903790109999998
AB03_Ilseung::LG_1p2mps,AB03_Ilseung,LG_1p2mps,hip,hip_flexion_l,0.142377405,0.1056960157,-0.036681389300000006,0.7573303172,0.8662632978,0.1089329806
