trial,subject,condition,task,lag_samples,n,rmse_awinda_nmpkg,r2_awinda,rmse_vicon_nmpkg,r2_vicon,rmse_reduction_pct,r2_increase,mean_angle_corr
AB03_Ilseung::LG_0p8mps,AB03_Ilseung,LG_0p8mps,LG,233,5350,0.08979471593774398,0.8405293211390701,0.06933986194679838,0.9246953923833466,22.779574251481854,0.08416607124427655,0.9572384694385542
AB03_Ilseung::LG_1p2mps,AB03_Ilseung,LG_1p2mps,LG,270,6500,0.12462531858506361,0.8852552502514971,0.07912234705017666,0.9499026414945053,36.511819629836026,0.06464739124300822,0.9578583049693906
AB03_Ilseung::LG_1p6mps,AB03_Ilseung,LG_1p6mps,LG,229,6500,0.1447069553651807,0.9049761445756924,0.09407685833780298,0.9634690657687434,34.98801899301124,0.05849292119305094,0.954320851832659
AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA_0p8mps,RA,332,6076,0.15568879936779817,0.8957571685309985,0.11517399023899345,0.9269551038942135,26.022944035359153,0.031197935363215024,0.9849835234142637
AB03_Ilseung::RD_0p8mps,AB03_Ilseung,RD_0p8mps,RD,262,5248,0.12719177027658266,0.8778911085365135,0.11223919419202012,0.8896339729038187,11.755930475727846,0.011742864367305206,0.935644205074211
AB04_Changseob::LG_0p8mps,AB04_Changseob,LG_0p8mps,LG,722,6500,0.12920952797180799,0.8096254039193415,0.067207950586099,0.9309652423020706,47.98529826626795,0.1213398383827291,0.9607068103078453
AB04_Changseob::LG_1p2mps,AB04_Changseob,LG_1p2mps,LG,1624,6500,0.1000265725339017,0.9389106457867372,0.0700745277145675,0.9694233764470632,29.94408791642105,0.030512730660326004,0.9618102572480618
AB04_Changseob::LG_1p6mps,AB04_Changseob,LG_1p6mps,LG,643,6500,0.11053770046829099,0.964147533264417,0.10853968512081291,0.9729127311193105,1.807541987044713,0.008765197854893492,0.9668197138870488
AB04_Changseob::RA_0p8mps,AB04_Changseob,RA_0p8mps,RA,705,6500,0.17135249214928863,0.8666590235420989,0.1383718264207416,0.9145251226892576,19.247263529621176,0.04786609914715867,0.9881487819123779
AB04_Changseob::RD_0p8mps,AB04_Changseob,RD_0p8mps,RD,750,6500,0.159458248071601,0.8088288995698995,0.11802045232714964,0.8835746514373154,25.986611696526786,0.07474575186741594,0.9218394650716711
AB05_Maria::LG_1p2mps,AB05_Maria,LG_1p2mps,LG,221,6500,0.12733867445296201,0.8796028436191992,0.12591202878896898,0.9261138362859521,1.1203553595337794,0.04651099266675296,0.9630945183722589
AB05_Maria::LG_1p6mps,AB05_Maria,LG_1p6mps,LG,179,6500,0.1315138652394883,0.9284624641934264,0.1346333982853795,0.9554578594594468,-2.3720183725195123,0.02699539526602046,0.9618837788122413
AB05_Maria::RA_0p8mps,AB05_Maria,RA_0p8mps,RA,257,6500,0.1815773672883146,0.8453534926088292,0.1603125172864037,0.9003089385798063,11.711178722040769,0.054955445970977124,0.9817555662333618
AB05_Maria::RD_0p8mps,AB05_Maria,RD_0p8mps,RD,198,6500,0.13979339383729764,0.8199211705874223,0.10848154646884221,0.9048280689303199,22.398660272100248,0.08490689834289755,0.9556458073136973
AB06_Jimin::LG_0p8mps,AB06_Jimin,LG_0p8mps,LG,214,6500,0.12476904111122437,0.8008183713867942,0.09442408140279814,0.8828988207313843,24.320904799913837,0.08208044934459002,0.9330894710679124
AB06_Jimin::LG_1p2mps,AB06_Jimin,LG_1p2mps,LG,254,6500,0.12743580113675576,0.8882242579438845,0.10933739489331507,0.9161874621939182,14.201979413947162,0.027963204250033735,0.9476504627330004
AB06_Jimin::LG_1p6mps,AB06_Jimin,LG_1p6mps,LG,290,6500,0.1323118893807458,0.924497395953478,0.11462996603608105,0.9550776787582668,13.363820460444467,0.03058028280478875,0.933920614697772
AB06_Jimin::RA_0p8mps,AB06_Jimin,RA_0p8mps,RA,854,6500,0.16887459803417615,0.8206003410349441,0.09951573459600548,0.9251719813491222,41.071223408113816,0.1045716403141781,0.9730318393861687
AB06_Jimin::RD_0p8mps,AB06_Jimin,RD_0p8mps,RD,842,6500,0.10340770950093436,0.9100639122419482,0.11079630403742151,0.930478916387616,-7.145109946004929,0.02041500414566788,0.8922593102823065
AB07_Amy::LG_0p8mps,AB07_Amy,LG_0p8mps,LG,1178,6500,0.11378055320001651,0.798308035618148,0.10306844946895882,0.8347819546235932,9.41470526358465,0.036473919005445166,0.9498733031325339
AB07_Amy::LG_1p2mps,AB07_Amy,LG_1p2mps,LG,217,6500,0.1282123640992372,0.88228740861613,0.09839455471669466,0.9289678314598583,23.25657871768386,0.04668042284372831,0.9431758197080535
AB07_Amy::LG_1p6mps,AB07_Amy,LG_1p6mps,LG,239,6500,0.1365717231671536,0.9332470261915778,0.13664257727314164,0.9341163485995749,-0.05188050962885842,0.0008693224079970863,0.9537178442504652
AB07_Amy::RA_0p8mps,AB07_Amy,RA_0p8mps,RA,254,6500,0.15366339214449753,0.850350578033777,0.1310816010514402,0.8844577087476561,14.695621890100226,0.03410713071387905,0.9800572210825859
AB07_Amy::RD_0p8mps,AB07_Amy,RD_0p8mps,RD,796,6500,0.1307783436120535,0.8515398325628575,0.13345717868114484,0.8728510416698573,-2.0483781909931094,0.021311209106999796,0.9360189211788216
AB08_Seokhyun::LG_0p8mps,AB08_Seokhyun,LG_0p8mps,LG,214,6500,0.10577092677892885,0.8559707403699278,0.09234211954618486,0.8791854164460936,12.696123255884347,0.023214676076165786,0.9651022237464882
AB08_Seokhyun::LG_1p2mps,AB08_Seokhyun,LG_1p2mps,LG,181,6500,0.1208702641872915,0.8898156755517816,0.12509800053848297,0.8940037285276642,-3.4977472578702047,0.004188052975882539,0.9659656232456929
AB08_Seokhyun::LG_1p6mps,AB08_Seokhyun,LG_1p6mps,LG,172,6500,0.14339682126051476,0.9241291581891121,0.1596508320335421,0.9239923563309103,-11.334986808039515,-0.00013680185820186264,0.9637663689894888
AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA_0p8mps,RA,631,6500,0.2119717991571857,0.7471206752939935,0.16447024551422765,0.842897011394375,22.409374186484932,0.0957763361003815,0.9803115361442453
AB08_Seokhyun::RD_0p8mps,AB08_Seokhyun,RD_0p8mps,RD,183,6500,0.13716628603580913,0.8838591813923887,0.12367893247667687,0.913400505654666,9.832848835472008,0.02954132426227729,0.9661337281011554
