trial,channel,joint,subject,condition,rmse_full,r2_full,rmse_single,r2_single,delta_rmse,delta_r2,single_worse_rmse,single_worse_r2
AB02_Oscar::RD_0p8mps,ankle_angle_l,ankle,AB02_Oscar,RD_0p8mps,0.16600702720000002,0.8762625015000001,0.1564253541,0.89013416,-0.009581673100000021,0.01387165849999994,False,False
AB02_Oscar::LG_1p2mps,hip_flexion_r,hip,AB02_Oscar,LG_1p2mps,0.1851373957,0.6845107895,0.24741869400000002,0.4365424129,0.06228129830000001,-0.24796837659999998,True,True
AB02_Oscar::LG_1p2mps,knee_angle_r,knee,AB02_Oscar,LG_1p2mps,0.054506028500000005,0.8889184607,0.1050454341,0.5874209498,0.0505394056,-0.3014975109,True,True
AB02_Oscar::LG_1p2mps,ankle_angle_r,ankle,AB02_Oscar,LG_1p2mps,0.1301245698,0.9502102362,0.1666280494,0.9183572408,0.0365034796,-0.03185299539999997,True,True
AB02_Oscar::LG_1p2mps,hip_flexion_l,hip,AB02_Oscar,LG_1p2mps,0.1509284612,0.7868429761,0.25998439430000003,0.3675125395,0.10905593310000003,-0.41933043659999997,True,True
AB02_Oscar::LG_1p2mps,knee_angle_l,knee,AB02_Oscar,LG_1p2mps,0.0990841319,0.7118195524,0.18539028740000002,-0.008858482,0.08630615550000002,-0.7206780344000001,True,True
AB02_Oscar::LG_1p2mps,ankle_angle_l,ankle,AB02_Oscar,LG_1p2mps,0.139167651,0.9427190761,0.1645207089,0.9199475616,0.025353057900000003,-0.022771514500000034,True,True
AB02_Oscar::LG_1p6mps,hip_flexion_r,hip,AB02_Oscar,LG_1p6mps,0.1788330109,0.8396956750000001,0.1388520262,0.9033605819,-0.0399809847,0.06366490689999993,False,False
AB02_Oscar::LG_1p6mps,knee_angle_r,knee,AB02_Oscar,LG_1p6mps,0.0633365604,0.9712386504,0.20205371430000002,0.7072924064,0.1387171539,-0.263946244,True,True
AB02_Oscar::LG_1p6mps,ankle_angle_r,ankle,AB02_Oscar,LG_1p6mps,0.1138276121,0.9671828619,0.2136540258,0.8843814240000001,0.0998264137,-0.08280143789999994,True,True
AB02_Oscar::LG_1p6mps,hip_flexion_l,hip,AB02_Oscar,LG_1p6mps,0.1742995538,0.8499009638,0.1276168643,0.9195360235000001,-0.04668268950000001,0.06963505970000006,False,False
AB02_Oscar::LG_1p6mps,knee_angle_l,knee,AB02_Oscar,LG_1p6mps,0.1574981454,0.8622449461,0.3025403493,0.491696312,0.1450422039,-0.3705486341,True,True
AB02_Oscar::LG_1p6mps,ankle_angle_l,ankle,AB02_Oscar,LG_1p6mps,0.13988260530000002,0.9510099507,0.21463290440000002,0.8846618298000001,0.0747502991,-0.06634812089999997,True,True
AB03_Ilseung::LG_0p8mps,hip_flexion_r,hip,AB03_Ilseung,LG_0p8mps,0.1230061846,0.5046031862,0.0935202579,0.7136410873,-0.029485926699999998,0.20903790109999998,False,False
AB03_Ilseung::LG_0p8mps,knee_angle_r,knee,AB03_Ilseung,LG_0p8mps,0.0479447197,0.8868095378,0.0513272855,0.8702746475,0.003382565800000001,-0.016534890299999994,True,True
AB03_Ilseung::LG_0p8mps,ankle_angle_r,ankle,AB03_Ilseung,LG_0p8mps,0.0926448116,0.9539181638,0.1104520318,0.9345009517,0.0178072202,-0.019417212100000025,True,True
AB03_Ilseung::LG_0p8mps,hip_flexion_l,hip,AB03_Ilseung,LG_0p8mps,0.13031336400000001,0.5236612784,0.1299838626,0.5260671071,-0.00032950140000001515,0.0024058287000000567,False,False
AB03_Ilseung::LG_0p8mps,knee_angle_l,knee,AB03_Ilseung,LG_0p8mps,0.0603958037,0.8256467269000001,0.054549434,0.8577680799,-0.0058463696999999995,0.032121352999999964,False,False
