trial,r2_deploy,r2_enc_offline,r2_vicon,r2_vicon_bias,r2_hybrid_imu_vel,rmse_deploy,rmse_enc_offline,rmse_vicon,rmse_vicon_bias,rmse_hybrid,bias_R_deg,vel_std_ratio_vic_over_imu
ab04_changseob_hip_0p8mps_ra_exo_on,0.9057378254027794,0.32373115968730903,0.7879229045865503,0.4103314632521583,0.19954629270599333,0.14081119828504635,0.3771621959827438,0.21121042495742823,0.35218628930114676,0.4103331245215941,-18.675403994027878,0.871254564053256
ab04_changseob_hip_1p2mps_lg_exo_on,0.8653178072030059,0.557170754873906,0.696090928920712,0.6281125526116781,0.6679380083431876,0.13945537320498894,0.2528705832438391,0.20948454820960286,0.23173195347300035,0.21897258592690355,-7.990418044729877,0.9327109667772008
ab04_changseob_hip_1p6mps_lg_exo_on,0.7770624025181562,0.6942338724317237,0.7348958137949003,0.6571074337535752,0.7330026703899112,0.2436478897335525,0.2853419878821962,0.26569249603268447,0.30216908599186715,0.26663948070601434,-14.155955930693523,0.9096327115078395
ab05_maria_hip_0p8mps_lg_exo_on,0.5153337735071821,-0.10366168589758629,0.18488932792810298,-0.15561815251495648,0.03956845516165153,0.2014405365771312,0.30397892439551955,0.2612364543022515,0.31105176391088163,0.283568965476419,-14.734819072435855,1.0582812674617452
ab05_maria_hip_0p8mps_ra_exo_on,0.8907588072261265,0.10702790954235641,0.6090694127259733,0.25506954240662627,-0.05213387785698265,0.13250383885728953,0.3788385682963182,0.2506600199713942,0.3460135527463012,0.41121670264257154,-18.99649245743411,0.9754097303369232
ab05_maria_hip_1p2mps_lg_exo_on,0.9085123407155287,0.4314050624695469,0.35255609193595894,0.22478422243746143,0.48738847193917356,0.11277522325725667,0.28114730944311894,0.3000084670169681,0.3282794815947833,0.26694796946865595,-8.8523331093296,1.082437444085401
ab06_jimin_hip_0p8mps_lg_exo_on,0.759548394755936,0.31907974768724323,0.41939259381443317,0.12024835704771852,0.3437752834885732,0.13961110719865297,0.2349385351827696,0.21694388672324658,0.26704605966576217,0.23063882821670803,-7.631991430687896,0.981233420195733
ab06_jimin_hip_0p8mps_ra_exo_on,0.9087128202064522,0.4928217794183085,0.7041152184391217,0.5148619143229289,0.47616792103651706,0.14019002788676785,0.3304399325328273,0.2523908121840474,0.323180324052113,0.33582132616256616,-11.373941954799065,0.9466660720203824
ab06_jimin_hip_1p2mps_lg_exo_on,0.8586844772305318,0.6137053502984312,0.5420847351327249,0.544120664976639,0.6744797142607193,0.15648653706676183,0.2587267849716293,0.28169206009292624,0.2810651491770506,0.23750407985151883,0.4096075639030823,1.0051441583151823
ab06_jimin_hip_1p6mps_lg_exo_on,0.8080684791041121,0.8077594344981296,0.7309975750691995,0.7256202359412945,0.8599576840085177,0.24566350506605952,0.2458612069435609,0.2908342763443436,0.29372677081540877,0.2098442791455715,-3.0120297597634376,1.0193951753809118
ab07_amy_hip_0p8mps_lg_exo_on,0.8505951554864826,0.5966490499222634,0.48598983824858577,0.5209702566099041,0.6819332638318933,0.11282161839125829,0.18537515511326397,0.2092646337869525,0.20201853869533654,0.1646148882508053,2.0640454169195612,0.9272641811770089
ab07_amy_hip_0p8mps_ra_exo_on,0.9029108270813869,0.6791551757280122,0.6944916864052002,0.419152344205031,0.5156386814665126,0.13231913673289136,0.24053859894254923,0.23471928553996269,0.32364460995318867,0.2955438894572142,-13.72871119582089,0.8849231900890719
ab07_amy_hip_1p2mps_lg_exo_on,0.7744638651805298,0.791712625441852,0.7461465623559524,0.7243287409419576,0.7857369587814351,0.2067695894055273,0.19870558390620424,0.21936640757810977,0.2285990091148329,0.20153581276693341,-2.26408493471755,0.9620717039904982
ab07_amy_hip_1p6mps_lg_exo_on,0.5544848099472848,0.8397891419585263,0.7358782800333933,0.7336562245740583,0.7913973221356496,0.4193726179754754,0.2514865632002238,0.32290210118400076,0.324257543661016,0.2869648820813603,-0.29215769788517865,0.9629101359952507
ab08_seokhyun_hip_0p8mps_lg_exo_on,0.8006959655601492,0.4999451898532896,0.3884871433908621,0.402432153807192,0.6445872917654649,0.11470985743596304,0.1816985659185873,0.20093032702388036,0.1986260954831963,0.15318250639380868,0.4758029768396983,0.9743245993700708
ab08_seokhyun_hip_0p8mps_ra_exo_on,0.6588672426132383,-0.1040539342089517,0.3156749911644905,-0.041007631063034955,-0.05794402178321478,0.2184360191722806,0.3929684517041465,0.30938107685242455,0.3815834211811036,0.38467493167021144,-6.700678160150509,0.8819252495401475
ab08_seokhyun_hip_1p2mps_lg_exo_on,0.7645761054589548,0.828266714930433,0.661583834155206,0.676509413795042,0.8208566415906186,0.1747308064077656,0.14923526122699843,0.209493118508306,0.20482126063071268,0.15242091597151555,1.5540692641832847,0.9651538860505904
ab08_seokhyun_hip_1p6mps_lg_exo_on,0.7541470842406693,0.7993427254575398,0.6730298235808523,0.6646873343670844,0.8202394234593929,0.23397741942175712,0.21137991535135736,0.2698300637200151,0.2732506754728686,0.2000706998295992,-1.563051325817293,0.9667263284441693
