trial,subject,condition,corr_hip_flexion_r,corr_knee_angle_r,corr_ankle_angle_r,corr_hip_flexion_l,corr_knee_angle_l,corr_ankle_angle_l,mean_angle_corr
AB03_Ilseung::LG_0p8mps,AB03_Ilseung,LG_0p8mps,0.9921765785207434,0.9899931824062134,0.92493320480993,0.9912686516260523,0.9892520780626617,0.8558071212057242,0.9572384694385542
AB03_Ilseung::LG_1p2mps,AB03_Ilseung,LG_1p2mps,0.9930078228552691,0.9884059327243911,0.9202238481908724,0.9912841594475489,0.9840307198794326,0.8701973467188294,0.9578583049693906
AB03_Ilseung::LG_1p6mps,AB03_Ilseung,LG_1p6mps,0.9933797692162095,0.9875034890825327,0.923097398361058,0.9936546309506523,0.9817489434325273,0.8465408799529741,0.954320851832659
AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA_0p8mps,0.9961405587115043,0.9965692623364747,0.9812088273156583,0.9963408936195802,0.9921660444916836,0.9474755540106811,0.9849835234142637
AB03_Ilseung::RD_0p8mps,AB03_Ilseung,RD_0p8mps,0.9112149825101831,0.9931553216612792,0.9152214398334235,0.9363088853826782,0.9928854570721101,0.8650791439855917,0.935644205074211
AB04_Changseob::LG_0p8mps,AB04_Changseob,LG_0p8mps,0.9883315105857858,0.994096305681831,0.8954880123870611,0.9907620554067414,0.9975646899659986,0.897998287819654,0.9607068103078453
AB04_Changseob::LG_1p2mps,AB04_Changseob,LG_1p2mps,0.993937588940468,0.9931052135230573,0.8940715454462544,0.9930562455913706,0.9963740406790225,0.900316909308199,0.9618102572480618
AB04_Changseob::LG_1p6mps,AB04_Changseob,LG_1p6mps,0.9964422436071925,0.9927974553148193,0.9044639364999852,0.9952267864803959,0.9951669694848556,0.9168208919350447,0.9668197138870488
AB04_Changseob::RA_0p8mps,AB04_Changseob,RA_0p8mps,0.9964789863098665,0.9972312485500031,0.974222385856398,0.9952308168308256,0.9990417869174198,0.9666874670097548,0.9881487819123779
AB04_Changseob::RD_0p8mps,AB04_Changseob,RD_0p8mps,0.9544525317815563,0.9963516646714434,0.8185279348845073,0.9774346715147234,0.9984043197984819,0.7858656677793141,0.9218394650716711
AB05_Maria::LG_1p2mps,AB05_Maria,LG_1p2mps,0.9863379939875988,0.9899929438272915,0.8836870115709082,0.9846284230037595,0.9869554370689295,0.9469653007750669,0.9630945183722589
AB05_Maria::LG_1p6mps,AB05_Maria,LG_1p6mps,0.9901738012183597,0.9885577065671426,0.8839470257275038,0.9872626842315629,0.9841272388097306,0.9372342163191483,0.9618837788122413
AB05_Maria::RA_0p8mps,AB05_Maria,RA_0p8mps,0.9946879025168113,0.9950750818653505,0.951166952608645,0.9923522843981131,0.9939983205363183,0.9632528554749329,0.9817555662333618
AB05_Maria::RD_0p8mps,AB05_Maria,RD_0p8mps,0.9690246549655929,0.9974803448429476,0.8752370050561288,0.956765190842355,0.9973584354147091,0.93800921276045,0.9556458073136973
AB06_Jimin::LG_0p8mps,AB06_Jimin,LG_0p8mps,0.9820487818555973,0.9924971920829163,0.8385026203073088,0.9784684610086836,0.9939386337060099,0.8130811374469585,0.9330894710679124
AB06_Jimin::LG_1p2mps,AB06_Jimin,LG_1p2mps,0.991921693299731,0.9902596357878674,0.8484353831679993,0.9919380115145912,0.9923341706981245,0.8710138819296888,0.9476504627330004
AB06_Jimin::LG_1p6mps,AB06_Jimin,LG_1p6mps,0.9963365576548342,0.9869199863639573,0.8120974992969346,0.9959794112900233,0.9912186928738789,0.8209715407070036,0.933920614697772
AB06_Jimin::RA_0p8mps,AB06_Jimin,RA_0p8mps,0.9965793511727664,0.9960485893425876,0.9265646759231091,0.9944184414942975,0.9974770580627478,0.927102920321503,0.9730318393861687
AB06_Jimin::RD_0p8mps,AB06_Jimin,RD_0p8mps,0.9712442450792659,0.9956350663727943,0.7180430806545266,0.9681072032178217,0.9971203783983811,0.70340588797105,0.8922593102823065
AB07_Amy::LG_0p8mps,AB07_Amy,LG_0p8mps,0.9839393092406843,0.9906995788203523,0.8512416967454319,0.9809523153538691,0.9950590418369828,0.8973478767978834,0.9498733031325339
AB07_Amy::LG_1p2mps,AB07_Amy,LG_1p2mps,0.9915152070481895,0.9889562969899609,0.8268661594077884,0.9854286026475666,0.9928316389715088,0.8734570131833075,0.9431758197080535
AB07_Amy::LG_1p6mps,AB07_Amy,LG_1p6mps,0.9940459238569533,0.9896067509208581,0.8715204646854754,0.9898969103638459,0.9927980107633022,0.8844390049123565,0.9537178442504652
AB07_Amy::RA_0p8mps,AB07_Amy,RA_0p8mps,0.9941906953201267,0.9959285920731092,0.943452143857419,0.9922809197953141,0.9980291477107719,0.9564618277387743,0.9800572210825859
AB07_Amy::RD_0p8mps,AB07_Amy,RD_0p8mps,0.9504764092001372,0.9944111193784694,0.8289597152801097,0.9501053480920849,0.9953825830570264,0.8967783520651014,0.9360189211788216
