bundle,model,joint,trial,subject,condition,channel,display,rmse,r2,lag_s,xcorr,fail_rmse,fail_r2,flagged,fail_reason
1-DoF/knee,1-DoF,knee,AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,knee_angle_r,Knee R,0.3840971238265931,0.15852215094926367,7.459999999999841,3.9183773658107186,True,True,True,"RMSE=0.384, R²=0.159"
1-DoF/knee,1-DoF,knee,AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG_1p6mps,knee_angle_l,Knee L,0.4286257254800839,0.260828161560905,12.999999999999723,3.9378936163652405,True,True,True,"RMSE=0.429, R²=0.261"
1-DoF/knee,1-DoF,knee,AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,knee_angle_l,Knee L,0.2666944987885904,0.312885310128834,8.729999999999814,3.9759717506613015,True,True,True,"RMSE=0.267, R²=0.313"
1-DoF/knee,1-DoF,knee,AB02_Oscar::LG_1p2mps,AB02_Oscar,LG_1p2mps,knee_angle_l,Knee L,0.18539028739383304,0.32989975461269205,3.5999999999999233,3.951249237366266,False,True,True,R²=0.330
1-DoF/knee,1-DoF,knee,AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,knee_angle_r,Knee R,0.1494415693080555,0.39949467268878625,7.109999999999848,3.9461892168886123,False,True,True,R²=0.399
1-DoF/knee,1-DoF,knee,AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,knee_angle_r,Knee R,0.209291630834861,0.4397176756295743,7.219999999999846,3.9428819672547317,False,True,True,R²=0.440
1-DoF/knee,1-DoF,knee,AB04_Changseob::LG_0p8mps,AB04_Changseob,LG_0p8mps,knee_angle_l,Knee L,0.1852960731260904,0.514166172523562,7.219999999999846,3.969480049506113,False,True,True,R²=0.514
1-DoF/knee,1-DoF,knee,AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA_0p8mps,knee_angle_r,Knee R,0.20092244198927497,0.555196996921463,6.3099999999998655,3.9560814036967917,False,True,True,R²=0.555
1-DoF/knee,1-DoF,knee,AB04_Changseob::LG_0p8mps,AB04_Changseob,LG_0p8mps,knee_angle_r,Knee R,0.1647794861834503,0.5595000956383372,7.219999999999846,3.969480049506113,False,True,True,R²=0.560
1-DoF/knee,1-DoF,knee,AB08_Seokhyun::LG_0p8mps,AB08_Seokhyun,LG_0p8mps,knee_angle_r,Knee R,0.07914043941255748,0.5699016817928837,2.1399999999999544,3.9602980514330457,False,True,True,R²=0.570
1-DoF/knee,1-DoF,knee,AB08_Seokhyun::LG_0p8mps,AB08_Seokhyun,LG_0p8mps,knee_angle_l,Knee L,0.11077107623961245,0.5744040456926333,2.1399999999999544,3.9602980514330457,False,True,True,R²=0.574
1-DoF/knee,1-DoF,knee,AB08_Seokhyun::RD_0p8mps,AB08_Seokhyun,RD_0p8mps,knee_angle_l,Knee L,0.2056970531006985,0.5753406342200679,1.829999999999961,3.956067985015208,False,True,True,R²=0.575
1-DoF/knee,1-DoF,knee,AB06_Jimin::LG_0p8mps,AB06_Jimin,LG_0p8mps,knee_angle_r,Knee R,0.14205321449236658,0.5777790629000314,2.1399999999999544,3.9494544080466287,False,True,True,R²=0.578
1-DoF/knee,1-DoF,knee,AB07_Amy::LG_0p8mps,AB07_Amy,LG_0p8mps,knee_angle_r,Knee R,0.10657562049137383,0.5962257447704137,11.779999999999749,3.949804464264225,False,True,True,R²=0.596
1-DoF/knee,1-DoF,knee,AB02_Oscar::LG_1p6mps,AB02_Oscar,LG_1p6mps,knee_angle_l,Knee L,0.30254034927667967,0.7367296932940574,2.2299999999999525,3.9589117780927077,True,False,True,RMSE=0.303
1-DoF/knee,1-DoF,knee,AB02_Oscar::RD_0p8mps,AB02_Oscar,RD_0p8mps,knee_angle_l,Knee L,0.3249451811779538,0.8175544553607185,3.569999999999924,3.934250985903178,True,False,True,RMSE=0.325
3-DoF,3-DoF,ankle,AB05_Maria::LG_0p8mps,AB05_Maria,LG_0p8mps,ankle_angle_r,Ankle R,0.7756736383370397,0.042643215769877715,1.9599999999999582,2.849270558787822,True,True,True,"RMSE=0.776, R²=0.043"
3-DoF,3-DoF,ankle,AB05_Maria::LG_0p8mps,AB05_Maria,LG_0p8mps,ankle_angle_l,Ankle L,0.3889122550024072,0.5592362762279475,1.9599999999999582,2.849270558787822,True,True,True,"RMSE=0.389, R²=0.559"
3-DoF,3-DoF,ankle,AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,ankle_angle_l,Ankle L,0.3802091953233038,0.7697941598179965,7.109999999999848,3.9461892168886123,True,False,True,RMSE=0.380
3-DoF,3-DoF,ankle,AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA_0p8mps,ankle_angle_r,Ankle R,0.2756526826076762,0.796949940960146,6.3099999999998655,3.9560814036967917,True,False,True,RMSE=0.276
3-DoF,3-DoF,ankle,AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,ankle_angle_l,Ankle L,0.33472842852448775,0.860761459297124,8.729999999999814,3.9759717506613015,True,False,True,RMSE=0.335
3-DoF,3-DoF,ankle,AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,ankle_angle_l,Ankle L,0.2799771199670203,0.8730091708793858,7.219999999999846,3.9428819672547317,True,False,True,RMSE=0.280
3-DoF,3-DoF,ankle,AB05_Maria::RA_0p8mps,AB05_Maria,RA_0p8mps,ankle_angle_l,Ankle L,0.25376752051723966,0.8745878895994056,2.569999999999945,3.97603765503628,True,False,True,RMSE=0.254
3-DoF,3-DoF,hip,AB05_Maria::LG_0p8mps,AB05_Maria,LG_0p8mps,hip_flexion_l,Hip L,0.3357639479654014,0.24679456290634919,1.9599999999999582,2.849270558787822,True,True,True,"RMSE=0.336, R²=0.247"
3-DoF,3-DoF,hip,AB05_Maria::LG_0p8mps,AB05_Maria,LG_0p8mps,hip_flexion_r,Hip R,0.30141258956820166,0.279183641194062,1.9599999999999582,2.849270558787822,True,True,True,"RMSE=0.301, R²=0.279"
3-DoF,3-DoF,hip,AB04_Changseob::RD_0p8mps,AB04_Changseob,RD_0p8mps,hip_flexion_l,Hip L,0.16115359780775884,0.5452436491926266,7.49999999999984,3.924572345734231,False,True,True,R²=0.545
3-DoF,3-DoF,hip,AB05_Maria::RD_0p8mps,AB05_Maria,RD_0p8mps,hip_flexion_l,Hip L,0.1832507269435252,0.5874646127245211,1.9799999999999578,3.9121914564105413,False,True,True,R²=0.587
3-DoF,3-DoF,hip,AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA_0p8mps,hip_flexion_l,Hip L,0.2603092193879441,0.7267521089006796,6.3099999999998655,3.9560814036967917,True,False,True,RMSE=0.260
3-DoF,3-DoF,hip,AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA_0p8mps,hip_flexion_r,Hip R,0.253432372386875,0.7421851644673892,6.3099999999998655,3.9560814036967917,True,False,True,RMSE=0.253
3-DoF,3-DoF,hip,AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA_0p8mps,hip_flexion_r,Hip R,0.2701224732106102,0.7433181483938084,3.3199999999999292,3.981309820696488,True,False,True,RMSE=0.270
3-DoF,3-DoF,hip,AB05_Maria::RA_0p8mps,AB05_Maria,RA_0p8mps,hip_flexion_r,Hip R,0.25578534873543296,0.7477970681923801,2.569999999999945,3.97603765503628,True,False,True,RMSE=0.256
3-DoF,3-DoF,hip,AB02_Oscar::RA_0p8mps,AB02_Oscar,RA_0p8mps,hip_flexion_r,Hip R,0.2945002827726754,0.7891372295165957,2.9699999999999367,3.9758547906909065,True,False,True,RMSE=0.295
3-DoF,3-DoF,hip,AB02_Oscar::RA_0p8mps,AB02_Oscar,RA_0p8mps,hip_flexion_l,Hip L,0.2692185599713245,0.812018297762275,2.9699999999999367,3.9758547906909065,True,False,True,RMSE=0.269
3-DoF,3-DoF,hip,AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA_0p8mps,hip_flexion_l,Hip L,0.27611840425205175,0.8542150272781522,3.3199999999999292,3.981309820696488,True,False,True,RMSE=0.276
3-DoF,3-DoF,knee,AB02_Oscar::LG_0p8mps,AB02_Oscar,LG_0p8mps,knee_angle_l,Knee L,0.27152451468367966,0.003222508520982798,3.8599999999999177,3.947452762337149,True,True,True,"RMSE=0.272, R²=0.003"
3-DoF,3-DoF,knee,AB05_Maria::LG_0p8mps,AB05_Maria,LG_0p8mps,knee_angle_r,Knee R,0.3718782266675343,0.017391992925875312,1.9599999999999582,2.849270558787822,True,True,True,"RMSE=0.372, R²=0.017"
3-DoF,3-DoF,knee,AB05_Maria::LG_0p8mps,AB05_Maria,LG_0p8mps,knee_angle_l,Knee L,0.39997153669862906,0.029086706164073346,1.9599999999999582,2.849270558787822,True,True,True,"RMSE=0.400, R²=0.029"
3-DoF,3-DoF,knee,AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,knee_angle_l,Knee L,0.29957952742871485,0.09475978449373891,7.109999999999848,3.9461892168886123,True,True,True,"RMSE=0.300, R²=0.095"
3-DoF,3-DoF,knee,AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,knee_angle_l,Knee L,0.5056710062918434,0.17983453515778747,7.459999999999841,3.9183773658107186,True,True,True,"RMSE=0.506, R²=0.180"
3-DoF,3-DoF,knee,AB02_Oscar::LG_0p8mps,AB02_Oscar,LG_0p8mps,knee_angle_r,Knee R,0.17749651649566034,0.24163284826641954,3.8599999999999177,3.947452762337149,False,True,True,R²=0.242
3-DoF,3-DoF,knee,AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,knee_angle_l,Knee L,0.3047203252270357,0.4781701270785663,7.219999999999846,3.9428819672547317,True,True,True,"RMSE=0.305, R²=0.478"
3-DoF,3-DoF,knee,AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,knee_angle_r,Knee R,0.26300876706165816,0.48053370621009045,7.459999999999841,3.9183773658107186,True,True,True,"RMSE=0.263, R²=0.481"
3-DoF,3-DoF,knee,AB07_Amy::LG_0p8mps,AB07_Amy,LG_0p8mps,knee_angle_r,Knee R,0.10391966314324734,0.5955170426115233,11.779999999999749,3.949804464264225,False,True,True,R²=0.596
3-DoF,3-DoF,knee,AB02_Oscar::RA_0p8mps,AB02_Oscar,RA_0p8mps,knee_angle_l,Knee L,0.2544771290202525,0.6733154707568126,2.9699999999999367,3.9758547906909065,True,False,True,RMSE=0.254
3-DoF,3-DoF,knee,AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG_1p6mps,knee_angle_l,Knee L,0.284322255562856,0.7545659315266114,12.999999999999723,3.9378936163652405,True,False,True,RMSE=0.284
3-DoF,3-DoF,knee,AB02_Oscar::RD_0p8mps,AB02_Oscar,RD_0p8mps,knee_angle_l,Knee L,0.26771906527557005,0.8883818803799363,3.569999999999924,3.934250985903178,True,False,True,RMSE=0.268
