trial,subject,condition,channel,rmse_awinda_nmpkg,r2_awinda,rmse_vicon_nmpkg,r2_vicon,rmse_reduction_pct,r2_increase,corr_angle
AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,knee_angle_l,0.3047203252064827,0.4781701268054533,0.19745651390697103,0.7619678691494634,35.200740622348775,0.28379774234401006,0.98282595072928
AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,ankle_angle_l,0.279977119735156,0.8730091706716214,0.1372003224746897,0.9531882377681867,50.99588044749008,0.0801790670965653,0.8964437570994261
AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG_1p6mps,hip_flexion_r,0.16006183554498973,0.9089818891837188,0.1773408149403202,0.8748750987202598,-10.795190081694232,-0.03410679046345899,0.9884151735964838
AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG_1p6mps,knee_angle_r,0.08356910383585664,0.9480875227916509,0.08160510433510475,0.9473829974184288,2.3501502476435645,-0.0007045253732220758,0.9822227819350192
AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG_1p6mps,ankle_angle_r,0.20697506535804253,0.95190904701658,0.16644581171892456,0.9693807586357011,19.58170834202039,0.01747171161912109,0.9227502921601295
AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG_1p6mps,hip_flexion_l,0.11297182357971106,0.952203798531045,0.20266483732701635,0.8883771891697838,-79.39414528793489,-0.06382660936126117,0.9902009150718051
AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG_1p6mps,knee_angle_l,0.28432225566238617,0.754565931025631,0.1830214997149593,0.9052818958529895,35.628852096515025,0.1507159648273585,0.9766223753769074
AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG_1p6mps,ankle_angle_l,0.24579834626840796,0.905353119540084,0.14191976749731378,0.95987973165946,42.261707756837545,0.05452661211937593,0.8967026384470338
AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,hip_flexion_r,0.11574671248627406,0.8770949537226755,0.1376970097933942,0.906174774725255,-18.964078405011396,0.029079821002579442,0.9915874166817438
AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,knee_angle_r,0.11855300776960458,0.8858115130674284,0.12097159111987935,0.9187671090718447,-2.0400860305248725,0.03295559600441622,0.9982844670880177
AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,ankle_angle_r,0.11119955675737568,0.9741095210917211,0.0894790759556831,0.9778675663794617,19.53288433431809,0.0037580452877405968,0.9910908779762463
AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,hip_flexion_l,0.10121323467352188,0.9149566236103469,0.16762716691903065,0.8940943773866179,-65.61783393222896,-0.02086224622372901,0.9884946485960974
AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,knee_angle_l,0.21793032051669503,0.6233742701554277,0.18127030270090805,0.740641554808726,16.82189872839588,0.11726728465329828,0.9979509467986168
AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,ankle_angle_l,0.33472842875025133,0.8607614592568437,0.11071657578680472,0.9621421024296186,66.9234620434905,0.10138064317277495,0.9788932806857419
AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,hip_flexion_r,0.13808533852371835,0.7023771316571543,0.1062817800517923,0.846826793549187,23.03181410274291,0.14444966189203268,0.9629866377423807
AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,knee_angle_r,0.26300876712113785,0.48053370589093597,0.09373463492655335,0.9141481745080834,64.36064244072115,0.4336144686171474,0.9944318401209209
AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,ankle_angle_r,0.19674320421186323,0.8480175092340568,0.1729852701464504,0.9404502899553556,12.075605945620898,0.09243278072129879,0.9253107080856371
AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,hip_flexion_l,0.08494992546498846,0.8332496846148585,0.12558584061649053,0.8373668703782609,-47.83513926477768,0.0041171857634023645,0.9740862096311105
AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,knee_angle_l,0.5056710061469577,0.1798345350883452,0.242624135489472,0.9076686552125292,52.01936979970712,0.7278341201241839,0.991273057784891
AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,ankle_angle_l,0.23496912509991982,0.832865955547917,0.17155355463685223,0.9202692640086748,26.988895003162792,0.08740330846075783,0.7411899450925123
AB02_Oscar::LG_0p8mps,AB02_Oscar,LG_0p8mps,hip_flexion_r,0.12777539772978058,0.7273694955370484,0.07191245710747185,0.908929443008411,43.719637437910926,0.18155994747136261,0.9797021942734266
AB02_Oscar::LG_0p8mps,AB02_Oscar,LG_0p8mps,knee_angle_r,0.17749651653700382,0.24163284841633875,0.05036616610029544,0.757640616986885,71.62413827440085,0.5160077685705462,0.9930885082241376
AB02_Oscar::LG_0p8mps,AB02_Oscar,LG_0p8mps,ankle_angle_r,0.14095907008030842,0.9551685967359949,0.13790356400978085,0.958940441521203,2.167654815533871,0.0037718447852080894,0.8626190651469622
AB02_Oscar::LG_0p8mps,AB02_Oscar,LG_0p8mps,hip_flexion_l,0.10205392041053214,0.7864518725887719,0.09124674972130908,0.8535184757325784,10.589667350111656,0.06706660314380652,0.979257064546497
AB02_Oscar::LG_0p8mps,AB02_Oscar,LG_0p8mps,knee_angle_l,0.2715245147422248,0.0032225085294198532,0.08455439750965986,0.6678081003684144,68.85938730433506,0.6645855918389946,0.9957325888250275
AB02_Oscar::LG_0p8mps,AB02_Oscar,LG_0p8mps,ankle_angle_l,0.18244456908778295,0.9445171842747921,0.14768419720092965,0.9472450981283965,19.052565971491536,0.00272791385360438,0.9180291924228696
AB02_Oscar::LG_1p2mps,AB02_Oscar,LG_1p2mps,hip_flexion_r,0.18513739579797042,0.8341755946005506,0.10014152726824438,0.9243199535284814,45.909616565243816,0.09014435892793082,0.9823994941544366
AB02_Oscar::LG_1p2mps,AB02_Oscar,LG_1p2mps,knee_angle_r,0.05450602837835815,0.8992887915169622,0.06260655295100166,0.864869600400644,-14.861703950273254,-0.03441919111631819,0.9943114980990738
AB02_Oscar::LG_1p2mps,AB02_Oscar,LG_1p2mps,ankle_angle_r,0.13012456994955854,0.9847160530921412,0.12085371833390424,0.9871240114046425,7.12459731413372,0.0024079583125012904,0.8817632462302267
AB02_Oscar::LG_1p2mps,AB02_Oscar,LG_1p2mps,hip_flexion_l,0.15092846134174048,0.8706705214496225,0.13769443267675546,0.8519449203951491,8.768411568855663,-0.018725601054473406,0.9813262013353604
AB02_Oscar::LG_1p2mps,AB02_Oscar,LG_1p2mps,knee_angle_l,0.09908413175395593,0.8054083868346958,0.0911786358460638,0.8066717434097518,7.978569088663895,0.0012633565750559406,0.9930920975290249
AB02_Oscar::LG_1p2mps,AB02_Oscar,LG_1p2mps,ankle_angle_l,0.13916765061651756,0.9752748387191436,0.10603022257056392,0.9852732780191187,23.811157190017706,0.009998439299975126,0.9400078276935669
AB02_Oscar::LG_1p6mps,AB02_Oscar,LG_1p6mps,hip_flexion_r,0.1788330108899527,0.8927299190177782,0.12168214420569005,0.9455276573297733,31.957671796641176,0.05279773831199508,0.9891643714747126
AB02_Oscar::LG_1p6mps,AB02_Oscar,LG_1p6mps,knee_angle_r,0.06333655996032991,0.9751468560989571,0.12333723787130689,0.9469614034082644,-94.73308614891253,-0.028185452690692725,0.9908604646327909
AB02_Oscar::LG_1p6mps,AB02_Oscar,LG_1p6mps,ankle_angle_r,0.11382761291935195,0.9729876360037713,0.11893909855635615,0.9879813488095641,-4.490549793595108,0.01499371280579287,0.8993510660691345
AB02_Oscar::LG_1p6mps,AB02_Oscar,LG_1p6mps,hip_flexion_l,0.17429955354798246,0.8939410123515252,0.14785441246536776,0.921272411760533,15.172236844160755,0.02733139940900775,0.990133148219176
AB02_Oscar::LG_1p6mps,AB02_Oscar,LG_1p6mps,knee_angle_l,0.15749814549674257,0.9463535014509713,0.13222885181291888,0.9607389319171891,16.044184903971658,0.014385430466217763,0.9887246508860541
AB02_Oscar::LG_1p6mps,AB02_Oscar,LG_1p6mps,ankle_angle_l,0.13988260493302945,0.9717865037046444,0.07884905591520477,0.9933457034322458,43.63197914926252,0.021559199727601452,0.9545038270153722
AB02_Oscar::RA_0p8mps,AB02_Oscar,RA_0p8mps,hip_flexion_r,0.29450028254815785,0.7891372295002703,0.187836230425816,0.9234234033430025,36.21865867137147,0.13428617384273223,0.9899338337540048
AB02_Oscar::RA_0p8mps,AB02_Oscar,RA_0p8mps,knee_angle_r,0.21483723254649198,0.7265158844133311,0.09437159107097622,0.9405463417985183,56.07298141370646,0.2140304573851871,0.99817754572865
AB02_Oscar::RA_0p8mps,AB02_Oscar,RA_0p8mps,ankle_angle_r,0.14730105724233378,0.9292295717952511,0.09452258459068805,0.9705142105588764,35.83034204894858,0.041284638763625314,0.9652249755457316
AB02_Oscar::RA_0p8mps,AB02_Oscar,RA_0p8mps,hip_flexion_l,0.26921856009037726,0.8120182981475744,0.24333843725998888,0.9052199580268051,9.61305298628013,0.09320165987923068,0.989709729909782
AB02_Oscar::RA_0p8mps,AB02_Oscar,RA_0p8mps,knee_angle_l,0.2544771291165851,0.6733154707595348,0.10870157384453694,0.9218417243102611,57.28434448239282,0.24852625355072633,0.9978168722518003
AB02_Oscar::RA_0p8mps,AB02_Oscar,RA_0p8mps,ankle_angle_l,0.16055204245114954,0.923785796767118,0.11365719116395766,0.9687579170021928,29.208504962782005,0.0449721202350748,0.9702366579868731
AB02_Oscar::RD_0p8mps,AB02_Oscar,RD_0p8mps,hip_flexion_r,0.16129967045027108,0.6159801150381325,0.07832378364468492,0.8961596424262976,51.4420684022214,0.2801795273881651,0.9811444068363976
AB02_Oscar::RD_0p8mps,AB02_Oscar,RD_0p8mps,knee_angle_r,0.21856078184994418,0.8816085768625572,0.19243211255737508,0.9311164579019755,11.954875468238436,0.04950788103941828,0.9967992701920345
AB02_Oscar::RD_0p8mps,AB02_Oscar,RD_0p8mps,ankle_angle_r,0.14171271975112318,0.901691279789264,0.10984268251941512,0.945872398363051,22.48918607142565,0.04418111857378704,0.7098661670024661
AB02_Oscar::RD_0p8mps,AB02_Oscar,RD_0p8mps,hip_flexion_l,0.13315375279983194,0.6567241329748609,0.11168379687435909,0.826504651423206,16.124183865661163,0.16978051844834507,0.9613792657304379
AB02_Oscar::RD_0p8mps,AB02_Oscar,RD_0p8mps,knee_angle_l,0.2677190655972949,0.8883818797857762,0.1905503265957672,0.9416155253478395,28.824521267979293,0.053233645562063336,0.9967039877366368
AB02_Oscar::RD_0p8mps,AB02_Oscar,RD_0p8mps,ankle_angle_l,0.1660070270836992,0.9067595266670122,0.11403653153401247,0.9426000333176034,31.306202190756466,0.03584050665059124,0.8494316476696004
AB03_Ilseung::LG_0p8mps,AB03_Ilseung,LG_0p8mps,hip_flexion_r,0.12300618470183593,0.6643052505663286,0.08571189763591042,0.8486805750584934,30.319034084608003,0.18437532449216476,0.9921765785207434
AB03_Ilseung::LG_0p8mps,AB03_Ilseung,LG_0p8mps,knee_angle_r,0.04794471963887238,0.8886185441540803,0.038286385752689944,0.9455011779683556,20.144729094112172,0.056882633814275385,0.9899931824062134
AB03_Ilseung::LG_0p8mps,AB03_Ilseung,LG_0p8mps,ankle_angle_r,0.09264481174621224,0.9724146422200067,0.07809278707974994,0.9846354783178788,15.707328227214251,0.012220836097872056,0.92493320480993
AB03_Ilseung::LG_0p8mps,AB03_Ilseung,LG_0p8mps,hip_flexion_l,0.13031336396909424,0.7029723676154409,0.10220240835427309,0.8496988346226877,21.571813326442925,0.14672646700724679,0.9912686516260523
AB03_Ilseung::LG_0p8mps,AB03_Ilseung,LG_0p8mps,knee_angle_l,0.06039580367821012,0.8494899935171392,0.0476893695880646,0.9382633457414165,21.038604201453495,0.08877335222427729,0.9892520780626617
AB03_Ilseung::LG_0p8mps,AB03_Ilseung,LG_0p8mps,ankle_angle_l,0.08446341189223901,0.9653751287614254,0.06405632327010237,0.9813929425912495,24.160862277470653,0.016017813829824146,0.8558071212057242
AB03_Ilseung::LG_1p2mps,AB03_Ilseung,LG_1p2mps,hip_flexion_r,0.1480899976635811,0.8104473885575133,0.09108259094770861,0.911420713974319,38.495109470780946,0.1009733254168057,0.9930078228552691
AB03_Ilseung::LG_1p2mps,AB03_Ilseung,LG_1p2mps,knee_angle_r,0.0690840942858736,0.9435685001834684,0.05563339138625233,0.9687683284237795,19.470043052112047,0.025199828240311084,0.9884059327243911
AB03_Ilseung::LG_1p2mps,AB03_Ilseung,LG_1p2mps,ankle_angle_r,0.14037792510873015,0.9456494838828476,0.08479244451722771,0.9808025806734773,39.597023925555625,0.03515309679062961,0.9202238481908724
AB03_Ilseung::LG_1p2mps,AB03_Ilseung,LG_1p2mps,hip_flexion_l,0.14237740496656356,0.8121598156919777,0.09569528374362428,0.913355060854955,32.78759100427648,0.10119524516297729,0.9912841594475489
