trial,r2_deploy,r2_butter_zp,r2_cascade_zp,r2_cascade_lag5_zp,r2_butter_vs_log,r2_casc_vs_log,r2_casc_lag5_vs_log,rmse_deploy,rmse_butter,rmse_casc,rmse_casc_lag
ab03_ilseung_hip_1p2mps_lg_exo_on,0.8862479878422258,0.8137130320180821,0.7728165198147183,0.5344034598788758,0.6803460808907433,0.7788173470988748,0.5064128910945157,0.11519307856806316,0.14741377856809013,0.1627928083716129,0.23305139852929566
ab03_ilseung_hip_1p6mps_lg_exo_on,0.8532163177700149,0.8303818342572478,0.7132778461606049,0.4302585249357511,0.6782126975091898,0.829119025002581,0.5321948582188483,0.1719648459383965,0.18485745388904942,0.24034296304362163,0.338797115134937
ab04_changseob_hip_0p8mps_lg_exo_on,0.8095280285108463,0.17552789399150592,0.7464548006121849,0.6855292636044429,0.44259149068105763,0.81837392992984,0.6362954833862295,0.11142355544462648,0.2318192291303845,0.12855505837130826,0.14316985749851302
ab04_changseob_hip_0p8mps_ra_exo_on,0.9057378254027794,0.32373115968730903,0.725101092929306,0.6666842812783293,0.4611611379833983,0.7979156013061723,0.6968780411466156,0.14081119828504635,0.3771621959827438,0.24046671669178238,0.2647868203313394
ab04_changseob_hip_1p2mps_lg_exo_on,0.8653178072030059,0.557170754873906,0.8019834306390468,0.6014849934152569,0.286927055014067,0.8418014037119126,0.6499653113313448,0.13945537320498894,0.2528705832438391,0.1690950634352698,0.23988467439338737
ab04_changseob_hip_1p6mps_lg_exo_on,0.7770624025181562,0.6942338724317237,0.6718302743101945,0.4136990553803408,0.41840281125240886,0.7911254550994095,0.4642485446625685,0.2436478897335525,0.2853419878821962,0.29561077020246335,0.39512207412251743
ab05_maria_hip_0p8mps_lg_exo_on,0.5153337735071821,-0.10366168589758629,0.5068442951098588,0.5502138217658228,0.6505581636661211,0.8133981992132077,0.6182993787712809,0.2014405365771312,0.30397892439551955,0.20319710756643342,0.1940566561750805
ab05_maria_hip_0p8mps_ra_exo_on,0.8907588072261265,0.10702790954235641,0.7159151580863168,0.7256599153706895,0.4128863397040604,0.8400351038329512,0.7565262917210267,0.13250383885728953,0.3788385682963182,0.21367773657685407,0.20998094123796301
ab05_maria_hip_1p2mps_lg_exo_on,0.9085123407155287,0.4314050624695469,0.796281013407957,0.6111362331185425,0.37838343207969005,0.7864539145733915,0.5179143100577626,0.11277522325725667,0.28114730944311894,0.16828607871931608,0.2325044003946602
ab06_jimin_hip_0p8mps_lg_exo_on,0.759548394755936,0.31907974768724323,0.7106365768233545,0.5906002302072921,0.5750888894759842,0.7500079150108139,0.5062367973923018,0.13961110719865297,0.2349385351827696,0.1531538602501254,0.1821712876170468
ab06_jimin_hip_0p8mps_ra_exo_on,0.9087128202064522,0.4928217794183085,0.8049874495503409,0.6595540372764208,0.4865830400286587,0.8408437106826125,0.7036963730329165,0.14019002788676785,0.3304399325328273,0.2049007311476938,0.27072996128631677
ab06_jimin_hip_1p2mps_lg_exo_on,0.8586844772305318,0.6137053502984312,0.7232360433748974,0.45409156265885287,0.29486387076710674,0.8129397820922357,0.5801940226395099,0.15648653706676183,0.2587267849716293,0.21899631677284676,0.30756856658630854
ab06_jimin_hip_1p6mps_lg_exo_on,0.8080684791041121,0.8077594344981296,0.642091536625995,0.3232562022464446,0.4688552224958549,0.7822456304126424,0.4458240899057102,0.24566350506605952,0.2458612069435609,0.3354698354617261,0.4612959415221654
ab07_amy_hip_0p8mps_lg_exo_on,0.8505951554864826,0.5966490499222634,0.8083906963331523,0.6579370963191833,0.5723940066623492,0.8121194533658321,0.6046685889393032,0.11282161839125829,0.18537515511326397,0.12776687762603328,0.17071157701189035
ab07_amy_hip_0p8mps_ra_exo_on,0.9029108270813869,0.6791551757280122,0.8669675380896327,0.6975176597460406,0.576492935260845,0.8822891487174676,0.7811464627756337,0.13231913673289136,0.24053859894254923,0.1548873938066262,0.23355397882003714
ab07_amy_hip_1p2mps_lg_exo_on,0.7744638651805298,0.791712625441852,0.6217084338236418,0.3196973211810755,0.5539182690017912,0.8312892264326246,0.576875239927151,0.2067695894055273,0.19870558390620424,0.26778850345518984,0.35911181111654805
ab07_amy_hip_1p6mps_lg_exo_on,0.5544848099472848,0.8397891419585263,0.25036515545142946,-0.10846469739115405,0.16644686872946934,0.6694555971034397,0.2237782111029447,0.4193726179754754,0.2514865632002238,0.5439934809862497,0.6614998434966605
ab08_seokhyun_hip_0p8mps_lg_exo_on,0.8006959655601492,0.4999451898532896,0.77478381728522,0.711248928533239,0.5128833878663404,0.8515258559458128,0.706940401623692,0.11470985743596304,0.1816985659185873,0.12193896137465823,0.13807164439302796
ab08_seokhyun_hip_0p8mps_ra_exo_on,0.6588672426132383,-0.1040539342089517,0.5771501609290866,0.5733207101229816,0.46632986944722266,0.6916377900470883,0.5732423453258336,0.2184360191722806,0.3929684517041465,0.24319555100535808,0.24429429370797293
ab08_seokhyun_hip_1p2mps_lg_exo_on,0.7645761054589548,0.828266714930433,0.6458045916177929,0.4042671996346141,0.6468842385452753,0.7484003942158992,0.4713907181696154,0.1747308064077656,0.14923526122699843,0.21432146773891358,0.27795210512061325
ab08_seokhyun_hip_1p6mps_lg_exo_on,0.7541470842406693,0.7993427254575398,0.6243331775647567,0.3354282201020786,0.5141040880689693,0.8038451973764262,0.49803377533207704,0.23397741942175712,0.21137991535135736,0.28922623607734615,0.3846867367393946
