trial,trial_key,subject,task,condition,rmse_nmpkg,r2_nmpkg,offset_s,sync_method,platform,channel,source,lag_samples,xcorr_score,n_samples,speed_mps,rmse_vicon_oracle_nmpkg,r2_vicon_oracle_nmpkg,model_in_ang_rmse_deg,model_in_vel_rmse_deg_s,rmse_enc_vs_vicon_nmpkg,encoder_replay_excluded,encoder_correction_note,encoder_xcorr_lag_samples,encoder_offset_deg,encoder_peak_trough_applied,encoder_peak_trough_lag_med,encoder_angle_key
ab08_seokhyun_hip_0p8mps_lg_exo_on,AB08_Seokhyun::LG_0p8mps,AB08_Seokhyun,LG,LG_0p8mps,0.114709857435963,0.8006959655601492,-0.2360647480001589,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab08_seokhyun_hip_0p8mps_ra_exo_on,AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA,RA_0p8mps,0.2184360191722806,0.6588672426132383,-0.1930613689999591,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab08_seokhyun_hip_1p2mps_lg_exo_on,AB08_Seokhyun::LG_1p2mps,AB08_Seokhyun,LG,LG_1p2mps,0.1747308064077656,0.7645761054589548,-0.2370478969998675,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
ab08_seokhyun_hip_1p6mps_lg_exo_on,AB08_Seokhyun::LG_1p6mps,AB08_Seokhyun,LG,LG_1p6mps,0.2339774194217571,0.7541470842406693,-0.2350533220000306,gpio_falling_edge,hip_exo_assisted,hip_flexion_r,assisted,,,,,,,,,,,,,,,,
,AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG,LG_0p8mps,0.10963931232987059,0.6979908731517925,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,711.0,3.9461892168886132,6000.0,,,,,,,,,,,,,
,AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA,RA_0p8mps,0.19994771979200202,0.5577560216816904,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,873.0,3.9759717506613015,6000.0,,,,,,,,,,,,,
,AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG,LG_1p2mps,0.12664712829247918,0.8280915716041792,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,722.0,3.942881967254732,6000.0,,,,,,,,,,,,,
,AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG,LG_1p6mps,0.1679525095914369,0.8616042711555156,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,1300.0,3.93789361636524,6000.0,,,,,,,,,,,,,
,AB02_Oscar::LG_0p8mps,AB02_Oscar,LG,LG_0p8mps,0.1433332010050414,0.5312319908777913,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,386.0,3.94745276233715,6000.0,,,,,,,,,,,,,
,AB02_Oscar::RA_0p8mps,AB02_Oscar,RA,RA_0p8mps,0.19746684148101012,0.6732140025018788,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,297.0,3.9758547906909065,6000.0,,,,,,,,,,,,,
,AB02_Oscar::LG_1p2mps,AB02_Oscar,LG,LG_1p2mps,0.22432428679048155,0.537695708023187,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,360.0,3.951249237366265,6000.0,,,,,,,,,,,,,
,AB02_Oscar::LG_1p6mps,AB02_Oscar,LG,LG_1p6mps,0.20019205966826176,0.8011189612846381,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,223.0,3.9589117780927072,6000.0,,,,,,,,,,,,,
,AB03_Ilseung::LG_0p8mps,AB03_Ilseung,LG,LG_0p8mps,0.11117730884961338,0.602393323942011,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,233.0,3.9621470606120983,4849.0,,,,,,,,,,,,,
,AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA,RA_0p8mps,0.2326280244346041,0.5382531236845556,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,332.0,3.9813098206964885,5576.0,,,,,,,,,,,,,
,AB03_Ilseung::LG_1p2mps,AB03_Ilseung,LG,LG_1p2mps,0.1187056308960772,0.8385162957904838,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,270.0,3.956429259542969,6000.0,,,,,,,,,,,,,
,AB03_Ilseung::LG_1p6mps,AB03_Ilseung,LG,LG_1p6mps,0.16454854673944877,0.8464337216591377,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,229.0,3.9561128186699337,6000.0,,,,,,,,,,,,,
,AB04_Changseob::LG_0p8mps,AB04_Changseob,LG,LG_0p8mps,0.08834725958778113,0.8209582858511977,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,722.0,3.969480049506113,6000.0,,,,,,,,,,,,,
,AB04_Changseob::RA_0p8mps,AB04_Changseob,RA,RA_0p8mps,0.1657844802748364,0.8213421544622079,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,705.0,3.986868884446033,6000.0,,,,,,,,,,,,,
,AB04_Changseob::LG_1p2mps,AB04_Changseob,LG,LG_1p2mps,0.11802288864330814,0.8854400647120401,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,1624.0,3.9765493878559637,6000.0,,,,,,,,,,,,,
,AB04_Changseob::LG_1p6mps,AB04_Changseob,LG,LG_1p6mps,0.20765534556653503,0.8303221289124846,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,643.0,3.979409768158714,6000.0,,,,,,,,,,,,,
,AB05_Maria::LG_0p8mps,AB05_Maria,LG,LG_0p8mps,0.35127847525896744,0.005823084940679624,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,196.0,2.8492705587878224,6000.0,,,,,,,,,,,,,
,AB05_Maria::RA_0p8mps,AB05_Maria,RA,RA_0p8mps,0.23325282176114476,0.4989171881210378,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,257.0,3.97603765503628,6000.0,,,,,,,,,,,,,
,AB05_Maria::LG_1p2mps,AB05_Maria,LG,LG_1p2mps,0.14860612472125379,0.7926126275335488,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,221.0,3.947861724402572,6000.0,,,,,,,,,,,,,
,AB05_Maria::LG_1p6mps,AB05_Maria,LG,LG_1p6mps,0.15476011102794554,0.8859300892146705,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,179.0,3.949809433276984,6000.0,,,,,,,,,,,,,
,AB06_Jimin::LG_0p8mps,AB06_Jimin,LG,LG_0p8mps,0.13163839498926666,0.699558284166346,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,214.0,3.9494544080466296,6000.0,,,,,,,,,,,,,
,AB06_Jimin::RA_0p8mps,AB06_Jimin,RA,RA_0p8mps,0.18094346477371068,0.8136850095147468,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,854.0,3.9846059453549745,6000.0,,,,,,,,,,,,,
,AB06_Jimin::LG_1p2mps,AB06_Jimin,LG,LG_1p2mps,0.18080405086030027,0.7817725654126583,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,254.0,3.9666700200763634,6000.0,,,,,,,,,,,,,
,AB06_Jimin::LG_1p6mps,AB06_Jimin,LG,LG_1p6mps,0.23111210567207152,0.8297577418001797,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,290.0,3.9699766903109674,6000.0,,,,,,,,,,,,,
,AB07_Amy::LG_0p8mps,AB07_Amy,LG,LG_0p8mps,0.1746309267740657,0.5431773537681133,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,1178.0,3.9498044642642247,6000.0,,,,,,,,,,,,,
,AB07_Amy::RA_0p8mps,AB07_Amy,RA,RA_0p8mps,0.20669249315172586,0.7381293758087604,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,254.0,3.9778344142787327,6000.0,,,,,,,,,,,,,
,AB07_Amy::LG_1p2mps,AB07_Amy,LG,LG_1p2mps,0.17615847147916888,0.7759267744871892,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,217.0,3.9581421456394974,6000.0,,,,,,,,,,,,,
,AB07_Amy::LG_1p6mps,AB07_Amy,LG,LG_1p6mps,0.2452482274988298,0.8045393631166269,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,239.0,3.9665935414106634,6000.0,,,,,,,,,,,,,
,AB08_Seokhyun::LG_0p8mps,AB08_Seokhyun,LG,LG_0p8mps,0.10793145981987179,0.7616650000746854,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,214.0,3.960298051433046,6000.0,,,,,,,,,,,,,
,AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA,RA_0p8mps,0.16958060707078887,0.7053536445572799,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,631.0,3.9560814036967917,6000.0,,,,,,,,,,,,,
,AB08_Seokhyun::LG_1p2mps,AB08_Seokhyun,LG,LG_1p2mps,0.1560691829976821,0.7972705010859715,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,181.0,3.9630909270725967,6000.0,,,,,,,,,,,,,
,AB08_Seokhyun::LG_1p6mps,AB08_Seokhyun,LG,LG_1p6mps,0.1634869328698045,0.8728476461911298,,,awinda_hip_only_exo_model,hip_flexion_r,unassisted,172.0,3.9631147358071397,6000.0,,,,,,,,,,,,,
ab01_jinwoo_knee_0p8mps_ra_exo_on,AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA,RA_0p8mps,0.1343958220124169,0.8133487079811085,-0.0510342960000036,,knee_exo_assisted,knee_angle_r,assisted,,,,0.8,0.1133032248828146,0.8673387739098638,8.440352379748708,51.63151240882159,0.0680485538731083,False,no LPF; logged raw vel; GT ID xcorr shift +3 samples,3.0,0.0,False,,model_in_knee_angle_raw
ab01_jinwoo_knee_0p8mps_rd_exo_on,AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD,RD_0p8mps,0.228655192673777,0.6491158781190631,-0.1200686329999918,,knee_exo_assisted,knee_angle_r,assisted,,,,0.8,0.1534351162837318,0.8420021734712065,4.052182320623595,58.76591977334356,0.1251245783787736,False,no LPF; logged raw vel; GT ID xcorr shift +2 samples,2.0,0.0,False,,model_in_knee_angle_raw
